# Name       Cl      FSi      MSi      CSi      FSa      MSa      CSa      FGr      MGr      CGr    rho_b    rho_p
 18/52  0.25299  0.15597  0.21360  0.11824  0.03302  0.03755  0.05877  0.02830  0.10157  0.00000   960.80  2766.21
 18/54  0.16158  0.06531  0.10303  0.10694  0.04008  0.04509  0.13542  0.03398  0.30856  0.00000  1065.30  2808.97
 18/55  0.12508  0.05625  0.09887  0.08546  0.04150  0.08112  0.16862  0.05229  0.29080  0.00000  1126.10  2869.78
 18/56  0.31985  0.12294  0.21847  0.17457  0.03764  0.04546  0.06005  0.02102  0.00000  0.00000  1180.40  2902.65
 18/57  0.25418  0.11298  0.19160  0.18386  0.03464  0.04048  0.05937  0.03800  0.08489  0.00000  1317.15  2855.01
 18/58  0.07122  0.03397  0.05829  0.04975  0.02053  0.02682  0.05958  0.01402  0.66582  0.00000  1259.10  2796.29
 18/74  0.12084  0.11022  0.28156  0.29424  0.10700  0.06140  0.01952  0.00522  0.00000  0.00000   966.10  2674.92
 18/75  0.08213  0.10496  0.23400  0.24296  0.10897  0.13590  0.05912  0.02861  0.00336  0.00000  1490.70  2686.08
 18/78  0.10737  0.08105  0.26086  0.28488  0.11499  0.08043  0.03081  0.01474  0.02486  0.00000  1353.40  2648.71
 18/79  0.06360  0.04828  0.13784  0.14183  0.18543  0.26050  0.16091  0.00162  0.00000  0.00000  1365.20  2691.38
 18/82  0.12244  0.08940  0.10690  0.06032  0.18071  0.14917  0.08222  0.03436  0.17448  0.00000   991.50  2791.58
 18/83  0.07969  0.13678  0.13098  0.08427  0.13661  0.23904  0.10382  0.03498  0.05382  0.00000  1010.90  2861.85
 18/84  0.16537  0.09246  0.18168  0.11368  0.16612  0.12484  0.08550  0.04031  0.03003  0.00000  1374.10  2671.53
 18/95  0.15509  0.08321  0.18736  0.08557  0.05224  0.09897  0.12215  0.06143  0.15397  0.00000  1393.90  2749.18
18/106  0.33432  0.14749  0.20081  0.14832  0.05907  0.01928  0.01383  0.01116  0.06571  0.00000  1880.40  2712.19
18/135  0.43631  0.16220  0.21581  0.13539  0.03610  0.01347  0.00073  0.00000  0.00000  0.00000   982.75  2657.72
18/136  0.51617  0.15494  0.19160  0.09765  0.02590  0.01247  0.00126  0.00000  0.00000  0.00000   817.40  2683.99
18/139  0.26218  0.13913  0.30057  0.23000  0.02396  0.03261  0.01154  0.00000  0.00000  0.00000   491.10  2680.71
18/140  0.35808  0.14291  0.16401  0.19614  0.10455  0.02797  0.00634  0.00000  0.00000  0.00000   523.00  2461.80
18/141  0.42051  0.08951  0.16539  0.29057  0.02032  0.01224  0.00147  0.00000  0.00000  0.00000   612.95  2554.77
18/142  0.47118  0.19410  0.17709  0.10739  0.03023  0.01321  0.00680  0.00000  0.00000  0.00000   594.60  2697.30
